订单号,分销商ID,经销商名称,微信open_id,用户名称,输入方式,提交时间,经度,纬度,送货地址,照片,OCR识别单号,收货方名称,收货方编码,经度,纬度,距离(米)
XH0000000496175,20016785680000,Hengyang_Jinguo,oueuz7azmmFb7R0JOZVaTFKsa2zg,oueuz7azmmFb7R0JOZVaTFKsa2zg,扫码,2025-09-15 10:35:53,112.54299207899305,26.908761935763888,湖南省衡阳市蒸湘区呆鹰岭镇振兴路,https://smartpod.winsfa.com/api/file/download?fileId=prod-public-oss/smartpod/3945ceba-fb26-4749-8332-3c918d120c20.jpg,XHOOO000,,,,,
XH0000000496176,20016785680000,Hengyang_Jinguo,oueuz7azmmFb7R0JOZVaTFKsa2zg,oueuz7azmmFb7R0JOZVaTFKsa2zg,扫码,2025-09-15 10:35:32,112.54285346137152,26.909014214409723,湖南省衡阳市蒸湘区呆鹰岭镇振兴路,https://smartpod.winsfa.com/api/file/download?fileId=prod-public-oss/smartpod/cbb4a3f7-0298-4859-9c17-69355be060dd.jpg,,,,,,
XH0000000496177,20016785680000,Hengyang_Jinguo,oueuz7azmmFb7R0JOZVaTFKsa2zg,oueuz7azmmFb7R0JOZVaTFKsa2zg,扫码,2025-09-15 10:35:08,112.5428285047743,26.908655327690973,湖南省衡阳市蒸湘区呆鹰岭镇振兴路,https://smartpod.winsfa.com/api/file/download?fileId=prod-public-oss/smartpod/2bc8d701-9393-4eb5-981b-aa5e8483d43f.jpg,XH0O00000496177,,,,,
XH0000000496169,20016785680000,Hengyang_Jinguo,oueuz7R9dk1yOeDmjcEnoU52dFoE,oueuz7R9dk1yOeDmjcEnoU52dFoE,扫码,2025-09-15 10:22:13,112.61223876953125,26.89619900173611,湖南省衡阳市雁峰区先锋街道新雅韩整形美容医院衡阳摩登百货商场奥康店,https://smartpod.winsfa.com/api/file/download?fileId=prod-public-oss/smartpod/fd87f3cc-cb8c-476a-a3bf-e238e6406494.jpg,XH0000000496169,,,,,
XH0100000275285,20002783860010,Hengyang_Jinguo,oueuz7ZOIQzfs5PvnZcs00n-OFuQ,oueuz7ZOIQzfs5PvnZcs00n-OFuQ,扫码,2025-09-15 10:08:04,113.15267388237847,27.83918674045139,湖南省株洲市芦淞区建设街道建设中路10号株洲百货大楼(中心广场店),https://smartpod.winsfa.com/api/file/download?fileId=prod-public-oss/smartpod/4bebdba8-0006-4464-9799-c829eba40130.jpg,XH010000,,,,,
XH0200000300118,20002783860020,Hengyang_Jinguo,oueuz7Xy_FlKZRPA-jymALrEr6LM,oueuz7Xy_FlKZRPA-jymALrEr6LM,扫码,2025-09-15 10:02:15,111.62307807074653,26.41653754340278,湖南省永州市冷水滩区曲河街道中兴路116号富源尊玺,https://smartpod.winsfa.com/api/file/download?fileId=prod-public-oss/smartpod/4078afcc-332a-4d96-91de-a83af7e7159c.jpg,XH0200000300118,永州市大新超市有限责任公司,10443577,111.6236,26.4165,52.2
XH0300000382029,20016785680030,Hengyang_Jinguo,oueuz7armHXPiHjybjSuzD6ui54Y,oueuz7armHXPiHjybjSuzD6ui54Y,扫码,2025-09-15 09:45:15,113.05652099609375,25.755579969618054,湖南省郴州市北湖区郴江街道齐鑫优选食材中国石化物流园加油站,https://smartpod.winsfa.com/api/file/download?fileId=prod-public-oss/smartpod/a3afbb1d-6e0d-4177-807c-c164bf3ba75b.jpg,,,,,,
XH0300000382028,20016785680030,Hengyang_Jinguo,oueuz7armHXPiHjybjSuzD6ui54Y,oueuz7armHXPiHjybjSuzD6ui54Y,扫码,2025-09-15 09:44:57,113.05652804904514,25.755575086805557,湖南省郴州市北湖区郴江街道齐鑫优选食材中国石化物流园加油站,https://smartpod.winsfa.com/api/file/download?fileId=prod-public-oss/smartpod/d8ebed62-f692-414e-bfb2-abc449e779ae.jpg,,,,,,
XH0000000496168,20016785680000,Hengyang_Jinguo,oueuz7R9dk1yOeDmjcEnoU52dFoE,oueuz7R9dk1yOeDmjcEnoU52dFoE,扫码,2025-09-15 09:38:56,112.56714328342014,26.89248318142361,湖南省衡阳市蒸湘区华兴街道步步高超市(解放路店)步步高广场(衡阳店),https://smartpod.winsfa.com/api/file/download?fileId=prod-public-oss/smartpod/46435dea-403a-40bf-9074-e6e833b5be55.jpg,,,,,,
XH0300000382098,20016785680030,Hengyang_Jinguo,oueuz7Rx5UZY9jP3xenwT1VP1GEs,oueuz7Rx5UZY9jP3xenwT1VP1GEs,扫码,2025-09-15 09:35:58,112.98197157118055,25.78843777126736,湖南省郴州市北湖区骆仙街道107国道粤泰·华泰城,https://smartpod.winsfa.com/api/file/download?fileId=prod-public-oss/smartpod/be6c0878-2e1e-40f4-8715-682a5f456763.jpg,XH0300000382098,安仁县家家福超市,604338911,113.2362,26.5201,85317.73
